name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
/datum/action/item_action/cycle_helmet_huds/proc/(init),<?.dm>,4294967295,85051.0,0.000148,50,1762,1011,2534,443.769682
/datum/action/item_action/cycle_helmet_huds/proc/set_action_overlay,code/modules/clothing/head/helmet.dm,857,15289.0,0.000029,3,5744,4639,6562,993.105735
/datum/action/item_action/cycle_helmet_huds/proc/set_default_overlay,code/modules/clothing/head/helmet.dm,870,300044.0,0.000505,50,6000,4489,8997,1061.605773
/datum/action/item_action/cycle_helmet_huds/update_button_icon,code/modules/clothing/head/helmet.dm,866,19736.0,0.000035,50,416,260,822,123.038902
/datum/action/item_action/dual_tube/toggle_chamber_swap/New,code/modules/projectiles/guns/shotguns.dm,1481,626600.0,0.001161,11,62694,52198,89327,10849.908479
/datum/action/item_action/intel/toggle_motion_detector/New,code/modules/clothing/suits/marine_armor/intel.dm,33,44894.0,0.000144,1,85390,85390,85390,0.000000
/datum/action/item_action/intel/toggle_motion_detector/update_button_icon,code/modules/clothing/suits/marine_armor/intel.dm,46,7965.0,0.000023,1,13545,13545,13545,0.000000
/datum/action/item_action/m46c/toggle_lethal_mode/New,code/modules/projectiles/guns/rifles.dm,653,201658.0,0.000435,4,64631,42530,97162,23102.436553
/datum/action/item_action/m46c/update_button_icon,code/modules/projectiles/guns/rifles.dm,650,1782.0,0.000004,4,568,521,611,44.256826
/datum/action/item_action/radio_helmet/use_phone/New,code/modules/clothing/head/helmet.dm,1199,61766.0,0.000104,1,61766,61766,61766,0.000000
/datum/action/item_action/reagent_container/set_transfer_amount/Destroy,code/game/objects/items/reagent_containers/reagent_container.dm,92,7602551.0,0.013034,203,38137,31409,68448,5268.057833
/datum/action/item_action/reagent_container/set_transfer_amount/New,code/game/objects/items/reagent_containers/reagent_container.dm,96,130430086.0,0.219598,2591,50339,39293,877439,18387.770351
/datum/action/item_action/rto_pack/use_phone/New,code/game/objects/items/storage/backpack.dm,720,136235.0,0.000303,2,89862,72625,107100,24377.506292
/datum/action/item_action/smartgun/toggle_accuracy_improvement/New,code/modules/projectiles/guns/smartgun.dm,337,748941.0,0.001283,18,42330,37160,65543,8671.391041
/datum/action/item_action/smartgun/toggle_aim_assist/New,code/modules/projectiles/guns/smartgun.dm,314,193451.0,0.000362,6,35836,31248,52688,8309.799673
/datum/action/item_action/smartgun/toggle_aim_assist/proc/update_icon,code/modules/projectiles/guns/smartgun.dm,328,17330.0,0.000034,12,1702,1272,4558,909.676516
/datum/action/item_action/smartgun/toggle_ammo_type/New,code/modules/projectiles/guns/smartgun.dm,414,521524.0,0.000870,16,32311,29335,39384,2682.502476
/datum/action/item_action/smartgun/toggle_auto_fire/New,code/modules/projectiles/guns/smartgun.dm,290,387574.0,0.000645,12,31910,28473,49442,5671.139496
/datum/action/item_action/smartgun/toggle_frontline_mode/New,code/modules/projectiles/guns/smartgun.dm,375,529388.0,0.000916,17,31999,28002,48932,5141.030533
/datum/action/item_action/smartgun/toggle_lethal_mode/New,code/modules/projectiles/guns/smartgun.dm,395,531402.0,0.000956,18,31532,26339,59020,9301.719942
/datum/action/item_action/smartgun/toggle_motion_detector/New,code/modules/projectiles/guns/smartgun.dm,268,539368.0,0.000991,18,32714,27061,58019,9514.341954
/datum/action/item_action/smartgun/toggle_motion_detector/update_button_icon,code/modules/projectiles/guns/smartgun.dm,278,94628.0,0.000159,18,5257,4669,6092,380.903261
/datum/action/item_action/smartgun/toggle_recoil_compensation/New,code/modules/projectiles/guns/smartgun.dm,356,526643.0,0.000887,18,29257,26019,42029,4461.468085
/datum/action/item_action/smartgun/update_button_icon,code/modules/projectiles/guns/smartgun.dm,265,28855.0,0.000046,105,259,180,821,87.258678
/datum/action/item_action/specialist/aimed_shot/New,code/modules/projectiles/guns/specialist/sniper.dm,59,189332.0,0.000329,4,48781,45916,51365,2359.209331
/datum/action/item_action/specialist/fire_shield/New,code/modules/clothing/suits/marine_armor/spec_fire.dm,129,43873.0,0.000104,1,61706,61706,61706,0.000000
/datum/action/item_action/specialist/fire_shield/action_cooldown_check,code/modules/clothing/suits/marine_armor/spec_fire.dm,137,1763.0,0.000004,1,2355,2355,2355,0.000000
/datum/action/item_action/specialist/prepare_position/New,code/modules/clothing/suits/marine_armor/ghillie.dm,144,146133.0,0.000246,4,36533,35366,38772,1548.572569
/datum/action/item_action/specialist/spotter_target/New,code/game/objects/items/devices/binoculars.dm,434,87052.0,0.000147,2,43526,42639,44413,1254.407430
/datum/action/item_action/specialist/toggle_cloak/New,code/game/objects/items/storage/backpack.dm,1125,111358.0,0.000187,2,55679,49663,61695,8507.908791
/datum/action/item_action/specialist/toggle_cloak/update_button_icon,code/game/objects/items/storage/backpack.dm,1131,25518.0,0.000043,4,6434,3897,8596,2169.638219
/datum/action/item_action/specialist/toggle_fuel/New,code/game/objects/items/storage/large_holster.dm,457,49682.0,0.000093,1,55433,55433,55433,0.000000
/datum/action/item_action/specialist/toggle_fuel/update_button_icon,code/game/objects/items/storage/large_holster.dm,463,14006.0,0.000027,2,7965,6472,9458,2111.420849
/datum/action/item_action/specialist/toggle_laser/New,code/modules/projectiles/guns/specialist/sniper.dm,263,175919.0,0.000298,4,44250,41438,46998,2798.153260
/datum/action/item_action/specialist/toggle_laser/update_button_icon,code/modules/projectiles/guns/specialist/sniper.dm,272,44274.0,0.000078,8,5798,3467,8596,2314.215572
/datum/action/item_action/specialist/twobore_brace/New,code/modules/projectiles/guns/shotguns.dm,971,53921.0,0.000091,1,53921,53921,53921,0.000000
/datum/action/item_action/specialist/twobore_brace/action_cooldown_check,code/modules/projectiles/guns/shotguns.dm,988,1413.0,0.000002,1,1152,1152,1152,0.000000
/datum/action/item_action/specialist/update_button_icon,code/modules/cm_marines/specialist.dm,9,33154.0,0.000056,12,2791,2014,5550,949.044735
/datum/action/item_action/taser/change_mode/New,code/modules/projectiles/guns/energy.dm,299,535550.0,0.000958,8,71133,51516,88456,10262.848045
/datum/action/item_action/toggle/New,code/datums/action.dm,228,110692643.0,0.187319,2654,41920,31108,309327,11679.502728
/datum/action/item_action/toggle/adjust_mask/New,code/datums/action.dm,571,49122.0,0.000084,1,49923,49923,49923,0.000000
/datum/action/item_action/toggle/adjust_mask/update_button_icon,code/datums/action.dm,579,11832.0,0.000021,2,6241,4688,7795,2196.980883
/datum/action/item_action/toggle/bipod/New,code/datums/action.dm,463,1050527.0,0.001887,22,50944,42179,72305,7014.937616
/datum/action/item_action/toggle/bipod/update_button_icon,code/datums/action.dm,467,231512.0,0.000390,44,5261,3577,8977,1567.844662
/datum/action/item_action/toggle/ext/New,code/datums/action.dm,505,280486.0,0.000433,4,64222,56395,77906,9680.929329
/datum/action/item_action/toggle/ext/update_button_icon,code/datums/action.dm,509,60563.0,0.000088,8,6559,3867,10990,2650.321167
/datum/action/item_action/toggle/flamer/New,code/datums/action.dm,519,484283.0,0.000827,8,61394,49803,76583,9774.092702
/datum/action/item_action/toggle/flamer/update_button_icon,code/datums/action.dm,523,117060.0,0.000209,16,7755,4137,18464,3959.832454
/datum/action/item_action/toggle/flare_launcher/New,code/datums/action.dm,539,729082.0,0.001228,15,48605,40636,80631,10518.500392
/datum/action/item_action/toggle/flare_launcher/update_button_icon,code/datums/action.dm,543,163383.0,0.000272,30,5381,3667,9859,1704.331318
/datum/action/item_action/toggle/flashlight/New,code/datums/action.dm,393,77024147.0,0.129914,1775,43471,35346,314056,11250.007337
/datum/action/item_action/toggle/flashlight/update_button_icon,code/datums/action.dm,401,17318970.0,0.029159,3550,4878,3276,170639,3332.801274
/datum/action/item_action/toggle/flashlight_grip/New,code/datums/action.dm,423,1352487.0,0.002391,24,59181,45936,81172,9460.556754
/datum/action/item_action/toggle/flashlight_grip/update_button_icon,code/datums/action.dm,431,300622.0,0.000512,48,6329,3957,13004,2049.444408
/datum/action/item_action/toggle/hudgoggles/New,code/datums/action.dm,359,726646.0,0.001185,13,54126,44794,64741,5788.517794
/datum/action/item_action/toggle/hudgoggles/update_button_icon,code/datums/action.dm,367,166990.0,0.000278,26,6358,4148,9447,1878.953134
/datum/action/item_action/toggle/lamp/New,code/datums/action.dm,325,5392621.0,0.009079,97,55594,38442,83286,11456.228364
/datum/action/item_action/toggle/lamp/update_button_icon,code/datums/action.dm,333,1115873.0,0.001879,194,5751,3316,25017,2974.864030
/datum/action/item_action/toggle/m56goggles/New,code/datums/action.dm,342,176690.0,0.000340,3,67332,46387,93144,23755.318615
/datum/action/item_action/toggle/m56goggles/update_button_icon,code/datums/action.dm,350,40225.0,0.000069,6,6857,4078,10670,2723.448990
/datum/action/item_action/toggle/motion_detector/New,code/datums/action.dm,300,1108627.0,0.001975,21,55866,45546,88075,11845.691489
